-0.002743	0.00041914	0.0036957	-0.0023088	0.00092586	7.9711e-05	0.00048518	0.0020515	-0.0010285	-3.5364e-05	-0.7814	-0.16138	-0.97479	-1.0597
-0.0064086	0.00089376	0.0084583	-0.0050703	0.0020231	0.00023456	0.0011939	0.0044896	-0.0021653	-5.6955e-05	-0.90753	-0.2854	-1.1006	-1.1864
-0.010888	0.0014207	0.014091	-0.0081466	0.0032329	0.00044966	0.0021008	0.0072205	-0.0033194	-3.493e-05	-1.0341	-0.40782	-1.2265	-1.3141
-0.016029	0.0019936	0.020342	-0.011374	0.0044876	0.00070194	0.0031723	0.010134	-0.0043907	6.1073e-05	-1.1612	-0.52864	-1.3525	-1.4428
-0.021633	0.0026	0.026907	-0.014566	0.0057134	0.00096308	0.0043679	0.013104	-0.0052773	0.00025829	-1.2887	-0.64786	-1.4787	-1.5726
-0.027446	0.0032191	0.033433	-0.017523	0.0068337	0.0012036	0.0056413	0.015992	-0.0058834	0.00057667	-1.4167	-0.76547	-1.6049	-1.7034
-0.033155	0.0038186	0.039527	-0.020038	0.0077732	0.0013977	0.0069423	0.018648	-0.0061292	0.0010241	-1.5453	-0.88146	-1.7311	-1.8353
-0.038394	0.0043545	0.044769	-0.021907	0.0084618	0.0015288	0.0082177	0.020911	-0.0059613	0.0015913	-1.6743	-0.9958	-1.8574	-1.9682
-0.042745	0.0047703	0.048732	-0.022948	0.0088392	0.0015933	0.0094123	0.022616	-0.0053649	0.0022458	-1.804	-1.1084	-1.9838	-2.1023
-0.04576	0.0049985	0.050997	-0.023009	0.0088588	0.0016041	0.010468	0.023592	-0.0043747	0.0029269	-1.9343	-1.2194	-2.11	-2.2375
-0.046976	0.0049641	0.051187	-0.021986	0.0084915	0.0015891	0.011321	0.023664	-0.0030857	0.0035398	-2.0652	-1.3285	-2.2362	-2.3739
-0.045958	0.0045897	0.04899	-0.019839	0.0077285	0.0015867	0.011897	0.022656	-0.0016604	0.0039519	-2.1969	-1.4358	-2.3623	-2.5115
-0.042329	0.003803	0.04419	-0.016602	0.0065824	0.0016348	0.012106	0.020393	-0.00033257	0.0039899	-2.3293	-1.5412	-2.4881	-2.6505
-0.035822	0.0025452	0.036697	-0.012389	0.0050873	0.0017546	0.01183	0.016701	0.00059496	0.0034408	-2.4626	-1.6446	-2.6137	-2.7908
-0.026326	0.00078153	0.026569	-0.0074006	0.0032963	0.0019296	0.010917	0.011414	0.0007593	0.0020549	-2.5968	-1.746	-2.739	-2.9325
-0.01392	-0.0014894	0.014031	-0.0019109	0.0012778	0.002083	0.0091731	0.004379	-0.00024526	-0.00044543	-2.7321	-1.8453	-2.8639	-3.0757
0.0010875	-0.0042265	-0.0005186	0.0037459	-0.00089053	0.0020556	0.0063548	-0.0045344	-0.0028418	-0.0043528	-2.8684	-1.9425	-2.9883	-3.2205
0.018156	-0.0073398	-0.016513	0.0092021	-0.0031275	0.0015928	0.0021765	-0.015418	-0.0074369	-0.0099557	-3.0059	-2.0375	-3.112	-3.3669
0.036522	-0.010688	-0.033238	0.014089	-0.0053552	0.00034281	-0.003678	-0.028306	-0.01438	-0.017514	-3.1447	-2.1304	-3.235	-3.5149
0.055236	-0.014083	-0.049872	0.018078	-0.007504	-0.0021265	-0.011528	-0.043153	-0.023919	-0.02723	-3.2849	-2.221	-3.3571	-3.6647
0.073231	-0.017296	-0.065529	0.020913	-0.0095156	-0.0062897	-0.021657	-0.059804	-0.03615	-0.039211	-3.4266	-2.3094	-3.4782	-3.8162
